Transaction,Item
1,Bread
2,Milk
2,Milk
3,Hot chocolate
3,Butter
3,Cookies
4,Rice
5,Coffee
5,butter
5,Bread
6,Eggs
6,butter
6,Rice
7,Eggs
7,butter
7,Coffee
7,Tea
8,butter
8,Bread
9,Bread
9,Rice
10,Milk
10,Eggs
11,Bread
11,Eggs
11,Bread
12,Butter
12,Coffee
12,Fresh vegetables
12,butter
12,Tea
13,Basket
13,Bread
13,Coffee
14,Bread
14,Eggs
14,butter
15,Mineral water
15,Milk
16,Bread
16,Eggs
16,Coffee
17,Hot chocolate
18,Yogurt
19,Yogurt
19,Bread
20,Bread
20,Eggs
21,Coffee
21,Coffee
21,Eggs
21,Bread
22,Butter
23,Milk
23,Rice
24,Bread
25,Milk
26,Fudge
27,Milk
28,Coffee
28,Bread
29,Bread
29,Butter
30,Bread
31,Basket
32,Milk
32,Rice
33,Coffee
34,Coffee
34,Rice
35,Rice
35,Milk
36,Tea
36,Bread
37,Coffee
37,Bread
38,Bread
38,Tea
39,Milk
40,Juice
40,Fresh vegetables
40,Coffee
40,Rice
41,Milk
42,Bread
42,Tea
43,Milk
43,Fudge
44,Coffee
44,Eggs
45,Coffee
45,Hot chocolate
45,Eggs
46,Coffee
47,Ella's Kitchen Pouches
47,Juice
47,Bread
47,Rice
47,Butter
48,Coffee
49,Coffee
49,Coffee
49,Eggs
50,Bread
50,Snack foods 
51,Bread
52,Milk
54,Bread
55,Soft drinks
55,Coffee
55,Tea
55,Canned beans
56,Coffee
56,Soft drinks
57,Milk
58,Snack foods 
58,Hot chocolate
58,Tea
58,detergent
59,Tea
60,Cookies
60,Coffee
60,Juice
60,Coffee
61,Coffee
62,Pick and Mix Bowls
62,Canned beans
62,Canned beans
62,Coffee
62,Smoothies
62,Coffee
63,Coffee
64,Cake
65,Fresh vegetables
65,Diapers
65,Tea
65,Coffee
66,Canned beans
66,Soft drinks
66,Mineral water
67,Canned beans
67,Mineral water
67,Rice
68,Soft drinks
68,Coffee
68,Tea
68,Milk
68,Chicken sand
69,Bread
69,Tea
69,Snack foods 
70,Fudge
71,Rice
72,Coffee
72,Bread
73,Bread
74,Coffee
74,Bread
75,Butter
75,Soft drinks
76,Coffee
77,Milk
78,Fudge
79,Fudge
79,Tea
79,Coffee
79,Rice
80,Soft drinks
80,Bread
80,Coffee
81,Coffee
81,Cake
82,Fresh vegetables
82,Bread
83,Coffee
83,Bread
84,Bread
85,Coffee
85,Coffee
85,butter
85,Eggs
86,Juice
87,Bread
88,Coffee
88,Coffee
88,Butter
89,Bread
90,Bread
90,Coffee
91,Tea
92,Coffee
93,Bread
93,Coke
94,Coffee
94,Coffee
95,Tea
95,butter
95,Yogurt
96,butter
96,butter
96,Coffee
96,Juice
97,Coffee
97,butter
97,Juice
98,Yogurt
99,butter
99,butter
99,Coffee
99,Bread
100,Bread
101,Coffee
101,butter
102,Yogurt
103,Bread
104,Coffee
104,Coffee
104,Eggs
104,Rice
104,Coffee
105,Coffee
105,Tea
105,Cake
106,Coffee
106,Coffee
106,butter
106,butter
107,Coffee
107,Tea
108,Yogurt
108,Rice
109,Bread
109,Rice
109,butter
110,butter
111,Coffee
112,Coffee
113,Coffee
113,Cake
114,Yogurt
115,Bread
116,Coffee
117,Cookies
117,Cake
117,Coffee
117,Cooking oil
118,Cookies
118,Cookies
118,Tea
118,butter
119,Coffee
119,Coffee
119,Rice
120,Yogurt
121,Coffee
121,Bread
122,Cookies
123,Butter
123,Coffee
123,Coffee
123,Juice
124,Coffee
124,detergent
125,Tea
126,Coffee
126,Butter
127,Yogurt
128,Fresh vegetables
128,Coffee
128,Tea
129,Coffee
129,Coffee
129,Cake
130,Coffee
130,Coffee
130,Rice
131,Bread
131,Coffee
132,Tea
132,Juice
132,Pick and Mix Bowls
132,Cookies
133,Canned beans
133,detergent
134,Canned beans
134,Tea
134,Yogurt
135,Bread
136,Tea
136,detergent
137,Yogurt
138,detergent
138,Canned beans
138,Coffee
139,Bread
139,Rice
139,Canned beans
140,Coffee
140,Coffee
140,Cookies
141,Bread
142,Tea
142,Rice
143,Tea
144,detergent
144,Canned beans
145,Coffee
145,Tea
145,Focaccia
146,Sandwich
147,Fresh vegetables
147,Coffee
148,Fudge
148,Coffee
148,Coffee
149,Coffee
150,Bread
151,Coke
151,detergent
152,Rice
153,Tea
153,Coffee
153,Cookies
153,Rice
154,Diapers
154,Canned beans
154,Coffee
154,Coke
155,Tea
155,Rice
155,Sandwich
156,Coffee
156,Rice
157,Coffee
157,Bread
158,Coffee
158,Rice
159,Bread
159,Hot chocolate
159,Cookies
160,Mineral water
160,Rice
161,Tea
162,Rice
163,Coffee
163,Juice
164,Coffee
164,Rice
165,Tea
166,Coffee
166,Rice
167,Sandwich
167,Canned beans
167,Bread
167,Mineral water
168,Tea
168,Coffee
169,Mineral water
170,Coffee
171,detergent
171,Tea
172,Bread
172,Coffee
173,Bread
173,Rice
174,Coffee
175,Bread
176,Cookies
176,Coffee
178,Coffee
178,butter
179,Coffee
179,butter
180,Butter
180,Tea
181,Tea
181,Tea
182,butter
182,butter
182,Ella's Kitchen Pouches
183,butter
184,Yogurt
184,Tea
185,Tea
185,Snack foods 
186,Tea
186,butter
187,Bread
188,Coffee
189,Bread
189,Coffee
190,Coffee
190,butter
190,butter
191,detergent
191,Tea
192,Bread
193,Coffee
194,Bread
194,Bread
195,Bread
195,Milk
196,Bread
196,Cake
196,Cookies
197,Coffee
197,Coffee
197,Tea
198,Coffee
198,Cookies
199,Coffee
200,Bread
201,Coffee
201,butter
202,Coffee
