Transaction,Item,date_time,period_day,weekday_weekend
1,Bread,30/10/2020 09:58,morning,weekend
2,Milk,30/10/2020 10:05,morning,weekend
2,Milk,30/10/2020 10:05,morning,weekend
3,Hot chocolate,30/10/2020 10:07,morning,weekend
3,Butter,30/10/2020 10:07,morning,weekend
3,Cookies,30/10/2020 10:07,morning,weekend
4,Rice,30/10/2020 10:08,morning,weekend
5,Coffee,30/10/2020 10:13,morning,weekend
5,butter,30/10/2020 10:13,morning,weekend
5,Bread,30/10/2020 10:13,morning,weekend
6,Eggs,30/10/2020 10:16,morning,weekend
6,butter,30/10/2020 10:16,morning,weekend
6,Rice,30/10/2020 10:16,morning,weekend
7,Eggs,30/10/2020 10:19,morning,weekend
7,butter,30/10/2020 10:19,morning,weekend
7,Coffee,30/10/2020 10:19,morning,weekend
7,Tea,30/10/2020 10:19,morning,weekend
8,butter,30/10/2020 10:20,morning,weekend
8,Bread,30/10/2020 10:20,morning,weekend
9,Bread,30/10/2020 10:21,morning,weekend
9,Rice,30/10/2020 10:21,morning,weekend
10,Milk,30/10/2020 10:25,morning,weekend
10,Eggs,30/10/2020 10:25,morning,weekend
11,Bread,30/10/2020 10:27,morning,weekend
11,Eggs,30/10/2020 10:27,morning,weekend
11,Bread,30/10/2020 10:27,morning,weekend
12,Butter,30/10/2020 10:30,morning,weekend
12,Coffee,30/10/2020 10:30,morning,weekend
12,Fresh vegetables,30/10/2020 10:30,morning,weekend
12,butter,30/10/2020 10:30,morning,weekend
12,Tea,30/10/2020 10:30,morning,weekend
13,Basket,30/10/2020 10:31,morning,weekend
13,Bread,30/10/2020 10:31,morning,weekend
13,Coffee,30/10/2020 10:31,morning,weekend
14,Bread,30/10/2020 10:32,morning,weekend
14,Eggs,30/10/2020 10:32,morning,weekend
14,butter,30/10/2020 10:32,morning,weekend
15,Mineral water,30/10/2020 10:34,morning,weekend
15,Milk,30/10/2020 10:34,morning,weekend
16,Bread,30/10/2020 10:37,morning,weekend
16,Eggs,30/10/2020 10:37,morning,weekend
16,Coffee,30/10/2020 10:37,morning,weekend
17,Hot chocolate,30/10/2020 10:38,morning,weekend
18,Yogurt,30/10/2020 10:41,morning,weekend
19,Yogurt,30/10/2020 10:43,morning,weekend
19,Bread,30/10/2020 10:43,morning,weekend
20,Bread,30/10/2020 10:45,morning,weekend
20,Eggs,30/10/2020 10:45,morning,weekend
21,Coffee,30/10/2020 10:49,morning,weekend
21,Coffee,30/10/2020 10:49,morning,weekend
21,Eggs,30/10/2020 10:49,morning,weekend
21,Bread,30/10/2020 10:49,morning,weekend
22,Butter,30/10/2020 10:52,morning,weekend
23,Milk,30/10/2020 10:53,morning,weekend
23,Rice,30/10/2020 10:53,morning,weekend
24,Bread,30/10/2020 10:54,morning,weekend
25,Milk,30/10/2020 10:55,morning,weekend
26,Fudge,30/10/2020 10:56,morning,weekend
27,Milk,30/10/2020 11:02,morning,weekend
28,Coffee,30/10/2020 11:03,morning,weekend
28,Bread,30/10/2020 11:03,morning,weekend
29,Bread,30/10/2020 11:05,morning,weekend
29,Butter,30/10/2020 11:05,morning,weekend
30,Bread,30/10/2020 11:07,morning,weekend
31,Basket,30/10/2020 11:12,morning,weekend
32,Milk,30/10/2020 11:16,morning,weekend
32,Rice,30/10/2020 11:16,morning,weekend
33,Coffee,30/10/2020 11:22,morning,weekend
34,Coffee,30/10/2020 11:25,morning,weekend
34,Rice,30/10/2020 11:25,morning,weekend
35,Rice,30/10/2020 11:27,morning,weekend
35,Milk,30/10/2020 11:27,morning,weekend
36,Tea,30/10/2020 11:33,morning,weekend
36,Bread,30/10/2020 11:33,morning,weekend
37,Coffee,30/10/2020 11:37,morning,weekend
37,Bread,30/10/2020 11:37,morning,weekend
38,Bread,30/10/2020 11:42,morning,weekend
38,Tea,30/10/2020 11:42,morning,weekend
39,Milk,30/10/2020 11:44,morning,weekend
40,Juice,30/10/2020 11:55,morning,weekend
40,Fresh vegetables,30/10/2020 11:55,morning,weekend
40,Coffee,30/10/2020 11:55,morning,weekend
40,Rice,30/10/2020 11:55,morning,weekend
41,Milk,30/10/2020 11:57,morning,weekend
42,Bread,30/10/2020 11:57,morning,weekend
42,Tea,30/10/2020 11:57,morning,weekend
43,Milk,30/10/2020 12:00,afternoon,weekend
43,Fudge,30/10/2020 12:00,afternoon,weekend
44,Coffee,30/10/2020 12:05,afternoon,weekend
44,Eggs,30/10/2020 12:05,afternoon,weekend
45,Coffee,30/10/2020 12:08,afternoon,weekend
45,Hot chocolate,30/10/2020 12:08,afternoon,weekend
45,Eggs,30/10/2020 12:08,afternoon,weekend
46,Coffee,30/10/2020 12:09,afternoon,weekend
47,Ella's Kitchen Pouches,30/10/2020 12:15,afternoon,weekend
47,Juice,30/10/2020 12:15,afternoon,weekend
47,Bread,30/10/2020 12:15,afternoon,weekend
47,Rice,30/10/2020 12:15,afternoon,weekend
47,Butter,30/10/2020 12:15,afternoon,weekend
48,Coffee,30/10/2020 12:17,afternoon,weekend
49,Coffee,30/10/2020 12:23,afternoon,weekend
49,Coffee,30/10/2020 12:23,afternoon,weekend
49,Eggs,30/10/2020 12:23,afternoon,weekend
50,Bread,30/10/2020 12:25,afternoon,weekend
50,Snack foods ,30/10/2020 12:25,afternoon,weekend
51,Bread,30/10/2020 12:26,afternoon,weekend
52,Milk,30/10/2020 12:28,afternoon,weekend
54,Bread,30/10/2020 12:33,afternoon,weekend
55,Soft drinks,30/10/2020 12:38,afternoon,weekend
55,Coffee,30/10/2020 12:38,afternoon,weekend
55,Tea,30/10/2020 12:38,afternoon,weekend
55,Canned beans,30/10/2020 12:38,afternoon,weekend
56,Coffee,30/10/2020 12:39,afternoon,weekend
56,Soft drinks,30/10/2020 12:39,afternoon,weekend
57,Milk,30/10/2020 12:45,afternoon,weekend
58,Snack foods ,30/10/2020 12:59,afternoon,weekend
58,Hot chocolate,30/10/2020 12:59,afternoon,weekend
58,Tea,30/10/2020 12:59,afternoon,weekend
58,detergent,30/10/2020 12:59,afternoon,weekend
59,Tea,30/10/2020 13:02,afternoon,weekend
60,Cookies,30/10/2020 13:14,afternoon,weekend
60,Coffee,30/10/2020 13:14,afternoon,weekend
60,Juice,30/10/2020 13:14,afternoon,weekend
60,Coffee,30/10/2020 13:14,afternoon,weekend
61,Coffee,30/10/2020 13:15,afternoon,weekend
62,Pick and Mix Bowls,30/10/2020 13:24,afternoon,weekend
62,Canned beans,30/10/2020 13:24,afternoon,weekend
62,Canned beans,30/10/2020 13:24,afternoon,weekend
62,Coffee,30/10/2020 13:24,afternoon,weekend
62,Smoothies,30/10/2020 13:24,afternoon,weekend
62,Coffee,30/10/2020 13:24,afternoon,weekend
63,Coffee,30/10/2020 13:33,afternoon,weekend
64,Cake,30/10/2020 13:34,afternoon,weekend
65,Fresh vegetables,30/10/2020 13:37,afternoon,weekend
65,Diapers,30/10/2020 13:37,afternoon,weekend
65,Tea,30/10/2020 13:37,afternoon,weekend
65,Coffee,30/10/2020 13:37,afternoon,weekend
66,Canned beans,30/10/2020 13:40,afternoon,weekend
66,Soft drinks,30/10/2020 13:40,afternoon,weekend
66,Mineral water,30/10/2020 13:40,afternoon,weekend
67,Canned beans,30/10/2020 13:46,afternoon,weekend
67,Mineral water,30/10/2020 13:46,afternoon,weekend
67,Rice,30/10/2020 13:46,afternoon,weekend
68,Soft drinks,30/10/2020 13:49,afternoon,weekend
68,Coffee,30/10/2020 13:49,afternoon,weekend
68,Tea,30/10/2020 13:49,afternoon,weekend
68,Milk,30/10/2020 13:49,afternoon,weekend
68,Chicken sand,30/10/2020 13:49,afternoon,weekend
69,Bread,30/10/2020 13:51,afternoon,weekend
69,Tea,30/10/2020 13:51,afternoon,weekend
69,Snack foods ,30/10/2020 13:51,afternoon,weekend
70,Fudge,30/10/2020 13:54,afternoon,weekend
71,Rice,30/10/2020 13:56,afternoon,weekend
72,Coffee,30/10/2020 14:21,afternoon,weekend
72,Bread,30/10/2020 14:21,afternoon,weekend
73,Bread,30/10/2020 14:22,afternoon,weekend
74,Coffee,30/10/2020 14:24,afternoon,weekend
74,Bread,30/10/2020 14:24,afternoon,weekend
75,Butter,30/10/2020 14:32,afternoon,weekend
75,Soft drinks,30/10/2020 14:32,afternoon,weekend
76,Coffee,30/10/2020 14:32,afternoon,weekend
77,Milk,30/10/2020 14:35,afternoon,weekend
78,Fudge,30/10/2020 14:42,afternoon,weekend
79,Fudge,30/10/2020 14:45,afternoon,weekend
79,Tea,30/10/2020 14:45,afternoon,weekend
79,Coffee,30/10/2020 14:45,afternoon,weekend
79,Rice,30/10/2020 14:45,afternoon,weekend
80,Soft drinks,30/10/2020 14:48,afternoon,weekend
80,Bread,30/10/2020 14:48,afternoon,weekend
80,Coffee,30/10/2020 14:48,afternoon,weekend
81,Coffee,31/10/2020 08:28,morning,weekday
81,Cake,31/10/2020 08:28,morning,weekday
82,Fresh vegetables,31/10/2020 08:47,morning,weekday
82,Bread,31/10/2020 08:47,morning,weekday
83,Coffee,31/10/2020 08:57,morning,weekday
83,Bread,31/10/2020 08:57,morning,weekday
84,Bread,31/10/2020 09:04,morning,weekday
85,Coffee,31/10/2020 09:10,morning,weekday
85,Coffee,31/10/2020 09:10,morning,weekday
85,butter,31/10/2020 09:10,morning,weekday
85,Eggs,31/10/2020 09:10,morning,weekday
86,Juice,31/10/2020 09:11,morning,weekday
